X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process,INSPECTION
155,-13.2,192,155,-10.3,362,-1.97,0.0687,328,23.5,0.00212,77.7,-26.9,423,77.5,-21.9,651,-3.21,0.0867,326,40.6,0.00515,35.2,-28.8,254,35,-23,678,0,0,0,0,-357,3.99825,3.562,-357,4,4,0.821,2.74E-19,328,0,0,16,1,2,50,0,PASS
155,4.1,35.3,155,4,4,1.17,0.033,329,1.81,1.33E-05,77,4.05,10.25,77,4,4,1.18,0.0235,328,0.991,0,34.5,4.05,4,34.5,4,4,0,0,0,0,-357,4.003,5.19,-357,4,4,0.415,0.0447,329,1.19,0,16,1,7,50,0,PASS
155,3.925,-33.5,155,4,4,0.45,0.0276,329,4.82,-1.44E-05,77,3.975,-8.5,77,4,4,0.7,0.017,328,3.32,-1.54E-06,34.5,3.975,-8.5,34.5,4,4,0,0,0,0,-357,4.00225,5.38,-357,4,4,-0.0997,0.034,329,1.29,0,16,1,9,50,0,PASS
155,4.075,47.8,155,4,4,0.651,0.0402,328,2,1.10E-05,77,4.025,29,77,4,4,-1.54,0.0205,327,4.47,2.77E-06,34.5,4.05,29,34.5,4,4,0,0,0,0,-357,9.73,105,-357,10.6,104,60.1,2.61,322,26.5,0.0576,16,1,9,50,0,PASS
155,4.075,41.5,155,4,4,0.878,0.0377,327,1.56,7.50E-06,77,4.025,10.25,77,4,4,-0.1,0.0184,325,1.82,1.77E-06,34.2,-1.88,-21,34.1,-2,4,0,0,0,0,-356,19.8,102.3,-356,20.6,104,56.7,2.56,318,44.9,0.15,16,1,12,6,1,PASS
155,3.925,-33.5,155,4,4,0.664,0.0332,325,4.3,3.56E-06,77,3.925,-27.3,77,4,4,1.98,0.0194,324,0.51,-3.39E-06,33.5,-1.8,-8.5,33.5,1.33,782,0,0,0,0,-354,30.3,92.5,-354,31,104,54.7,2.41,317,72.8,0.231,16,1,14,6,1,PASS
155,-2,10.25,154,-2,4,-8.1,0.0983,323,10.2,0.00126,77,4.05,29,77,4,4,-0.0991,0.0258,322,1.1,1.70E-06,33.5,4,4,33.5,4,4,0,0,0,0,-351,39.9,102.9,-350,40.6,104,62,2.61,309,88.4,0.341,16,1,14,6,1,PASS
154,-2.15,-39.8,154,-2,4,-6.42,0.101,322,11.5,0.00126,77,4.05,22.8,77,4,4,0.22,0.034,322,1.29,-3.55E-06,33.5,4,4,33.5,4,4,0,0,0,0,-347,49.9,129,-346,50.6,104,59,2.65,306,109,0.441,16,1,14,6,1,PASS
153,-1.93,66.5,153,-2,4,-6.67,0.098,325,14.2,0.00118,77,3.9,-46,77,4,4,1.18,0.0209,324,2.25,-1.26E-06,33.5,4,4,33.5,4,4,0,0,0,0,-341,57.7,-47,-341,57.3,3.999999046,9.37,0.389,324,112,0.0746,16,1,14,6,1,PASS
153,-1.93,-8.5,153,-2,4,-5.99,0.113,325,13.6,0.00144,77,4.05,35.3,77,4,4,-5.37,0.0413,325,8.21,0,33.5,4,4,33.5,4,4,0,0,0,0,-336,57.2,-50.8,-336,57.3,4,27.3,1.2,320,117,0.231,16,1,14,6,1,PASS
152,-1.9,16.5,152,-2,4,-5.65,0.0976,326,13.9,0.00121,77,4.05,29,77,4,4,6.29,0.0396,325,6.91,1.69E-07,33.5,4,4,33.5,4,4,0,0,0,0,-331,57.3,14.3,-331,57.3,4,22.8,0.917,319,116,0.176,16,1,2,6,1,PASS
152,-1.82,66.5,151,-2,4,-5.9,0.0915,326,14.6,0.00111,77,3.975,-8.5,77,4,4,1.98,0.0201,325,0.263,-3.05E-07,33.5,4,4,33.5,4,4,0,0,0,0,-325,57.3,-17.8,-325,57.3,4,20.6,0.872,322,120,0.168,16,1,14,6,1,PASS
151,-2.2,-71,151,-2,4,-3.92,0.0813,326,12.7,0.00104,77,4.025,16.5,77,4,4,1.66,0.0375,325,0.731,-6.28E-07,33.5,4,4,33.5,4,4,0,0,0,0,-320,57.3,25.8,-320,57.3,3.999999046,21.9,0.979,320,117,0.189,16,1,14,6,1,PASS
150,-1.9,-21,150,-2,4,-6.86,0.123,326,14.6,0.00154,77,4,4,77,4,4,6.13,0.0553,325,7.42,-2.01E-06,33.5,4,4,33.5,4,4,0,0,0,0,-315,57.3,-9.3,-315,57.3,4,27,0.906,319,119,0.172,16,1,14,6,1,PASS
150,-2.03,-14.8,150,-1.97,4.731,-4.75,0.0939,326,14.3,0.00122,77,4.5,-14.8,77,4.595,11.52,3.38,0.0394,325,5.11,2.04E-05,33.5,4,4,33.5,4,4,0,0,0,0,-309,57.3,-8.4,-309,57.3,4,25,0.884,322,122,0.167,16,1,14,6,1,PASS
149,-1.82,10.25,149,-1.86,5.63,-5.25,0.0894,326,13.5,0.00107,77.1,5.4,47.8,77.1,5.31,11.38,3.09,0.0682,325,6.47,0.000196,33.5,4,4,33.5,4,4,0,0,0,0,-304,57.2,-15.7,-304,57.3,4,23.2,1.04,320,118,0.201,16,1,15,6,1,PASS
149,-1.82,-64.7,149,-1.64,6.55,-3.16,0.0814,326,13.1,0.00102,77.3,5.92,10.25,77.3,6.04,11.12,7.05,0.129,324,10.8,0.000516,33.5,4,4,33.5,4,4,0,0,0,0,-299,57.3,-13.3,-299,57.3,4.000000954,23.1,0.876,319,117,0.168,16,1,15,6,1,PASS
148,-1.2,54,148,-1.33,7.46,-4.73,0.0836,326,14.5,0.000854,77.5,6.65,10.25,77.5,6.76,10.72,4.96,0.0862,325,9.64,0.00049,33.5,4,4,33.5,4,4,0,0,0,0,-293,57.2,-67.4,-293,57.3,4.000000954,24.3,0.923,321,121,0.176,16,1,15,6,1,PASS
148,-1.07,10.25,148,-0.96,8.24,-4.78,0.0729,326,10.7,0.000777,77.8,7.1,16.5,77.8,7.38,10.26,4.35,0.0704,325,9.82,0.000428,33.5,4,4,33.5,4,4,0,0,0,0,-288,57.3,0,-288,57.3,4,25,0.91,321,120,0.175,16,1,15,6,1,PASS
147,-0.47,-8.5,147,-0.49,8.99,-6.44,0.109,326,11.3,0.000986,78.2,7.95,22.8,78.2,7.98,9.67,5.97,0.0993,324,11.3,0.000847,33.5,4,4,33.5,4,4,0,0,0,0,-283,57.3,3.063,-283,57.3,4,21.2,1.02,319,115,0.198,16,1,15,6,1,PASS
147,-0.05,10.25,147,0.06,9.69,-4.21,0.0801,326,11.3,0.00067,78.6,8.63,-33.5,78.6,8.53,8.97,1.96,0.0815,325,15,0.000773,33.5,4,4,33.5,4,4,0,0,0,0,-277,57.2,-68.7,-277,57.3,4,26.3,1.03,321,120,0.196,16,1,2,6,1,PASS
146,0.8,54,146,0.64,10.25,-4.98,0.0847,326,10.5,0.000558,79.1,8.6,-58.5,79.1,8.97,8.25,4.74,0.0771,324,12.4,0.000751,33.5,4,4,33.5,4,4,0,0,0,0,-272,57.2,-59.9,-272,57.3,4.000000954,23.7,1.04,321,118,0.2,16,1,15,6,1,PASS
146,1.3,-14.8,146,1.29,10.74,-3.38,0.0743,326,9.91,0.000463,79.6,9.18,-71,79.6,9.35,7.43,4.39,0.0806,324,15,0.000862,33.5,4,4,33.5,4,4,0,0,0,0,-267,57.4,31.9,-267,57.3,3.999999046,20.4,0.854,320,118,0.164,16,1,15,6,1,PASS
146,1.97,47.8,146,2.01,11.13,-5.54,0.0892,326,9.21,0.000354,80.2,9.78,-2.25,80.2,9.66,6.52,6.22,0.114,324,14.1,0.00146,33.5,4,4,33.5,4,4,0,0,0,0,-261,57.4,9.25,-261,57.3,3.999999046,18.9,0.835,321,120,0.161,16,1,15,6,1,PASS
146,2.55,-64.7,146,2.71,11.38,-3.81,0.0727,326,5.95,0.000174,80.7,9.72,35.3,80.8,9.86,5.64,7.9,0.128,324,15,0.00152,33.5,4,4,33.5,4,4,0,0,0,0,-256,57.1,-59,-256,57.3,4,27.3,1.23,320,117,0.235,16,1,15,6,1,PASS
145,3.2,-102,145,3.458,11.53,-1.65,0.078,326,6.14,4.90E-05,81.3,9.8,29,81.3,9.98,4.702,6.48,0.104,324,13.8,0.00125,33.5,4,4,33.5,4,4,0,0,0,0,-251,57.4,21.5,-251,57.3,4,22.5,0.904,320,117,0.175,16,1,15,6,1,PASS
145,4.125,66.5,145,4,4,-3.59,0.0653,326,7.62,-4.96E-05,81.8,5.7,398,81.8,10,129,15.6,0.238,325,14,0.00183,33.5,4,4,33.5,4,4,0,0,0,0,-245,57.3,-25.6,-245,57.3,4,21,0.893,321,120,0.172,16,1,15,6,1,PASS
146,10.07,-27.3,146,10,4,3.17,0.0552,326,12.2,0.000644,81.9,3.975,22.8,81.9,4,4,0.182,0.0181,325,1.5,-3.80E-07,33.5,4,4,33.5,4,4,0,0,0,0,-240,57.3,-0.13,-240,57.3,4.000000954,19.6,0.932,321,120,0.179,16,1,17,6,1,PASS
146,9.97,16.5,147,10,4,3.66,0.0875,326,14.6,0.0011,81.9,4,-2.25,81.9,4,4,-0.677,0.0233,324,3.42,0,33.5,4,4,33.5,4,4,0,0,0,0,-235,57.3,-7.3,-235,57.3,4,26.9,0.903,320,119,0.173,16,1,17,6,1,PASS
147,9.7,-71,147,10,4,6.68,0.099,326,13.7,0.00122,81.9,4,4,81.9,4,4,-0.229,0.0241,325,6.73,1.08E-06,33.5,4,4,33.5,4,4,0,0,0,0,-229,57.3,-3.44,-229,57.3,4,24.6,0.873,322,123,0.166,16,1,17,6,1,PASS
148,10.18,16.5,148,10,4,4.14,0.0765,326,12.7,0.000967,81.9,3.95,-21,81.9,4,4,0.0386,0.0136,325,1.87,0,33.5,4,4,33.5,4,4,0,0,0,0,-224,57.3,-9.1,-224,57.3,4,23.2,1.03,321,117,0.197,16,1,2,6,1,PASS
148,10.1,60.3,148,10,4,6.74,0.0984,326,11.3,0.00128,81.9,3.975,-14.8,81.9,4,4,-0.808,0.0216,324,0.558,-2.40E-06,33.5,4,4,33.5,4,4,0,0,0,0,-219,57.3,-15.1,-219,57.3,4.000000954,23.3,0.894,320,117,0.172,16,1,17,6,1,PASS
148,5.2,-52.3,148,5.41,12.82,5.59,0.0959,326,9.75,0.000275,81.5,-1.85,-39.8,81.5,-1.83,6.11,-8.49,0.146,325,16.2,0.00179,33.5,4,4,33.5,4,4,0,0,0,0,-213,57.2,-59.2,-213,57.3,4.000000954,22.7,0.904,321,122,0.173,16,1,17,6,1,PASS
149,6.05,10.25,149,6.24,12.43,9.78,0.117,326,3.33,0.000452,81,-1.25,110,80.9,-1.57,7.36,-5.27,0.0865,325,13.8,0.000927,33.5,4,4,33.5,4,4,0,0,0,0,-208,57.3,3.625,-208,57.3,4,24.2,0.903,321,119,0.172,16,1,19,6,1,PASS
149,7.1,79,149,7.05,11.82,7.14,0.103,326,8.31,0.000652,80.4,-1.07,-8.5,80.4,-1.17,8.59,-5.8,0.109,324,14.9,0.00117,33.5,4,4,33.5,4,4,0,0,0,0,-203,57.3,-5.31,-203,57.3,4,22.2,1.02,321,115,0.197,16,1,19,6,1,PASS
149,7.92,22.8,149,7.82,11.01,4.83,0.0757,326,10,0.000558,79.9,-0.65,4,79.9,-0.62,9.76,-8.44,0.151,325,13.6,0.00156,33.5,4,4,33.5,4,4,0,0,0,0,-197,57.2,-68.7,-197,57.3,4,26.5,1.02,321,121,0.195,16,1,19,6,1,PASS
150,8.6,104,150,8.45,10.1,6.99,0.0881,326,8.66,0.000805,79.5,-0.07,-39.8,79.5,-0.02,10.71,-7.25,0.132,324,12,0.0011,33.5,4,4,33.5,4,4,0,0,0,0,-192,57.2,-57,-192,57.3,4.000000954,23.5,1.04,321,117,0.199,16,1,19,6,1,PASS
150,8.9,-8.5,150,9.01,9.02,5.05,0.0889,326,12.7,0.000898,79.1,0.7,47.8,79.1,0.69,11.55,-3.18,0.0506,324,7.2,0.00028,33.5,4,4,33.5,4,4,0,0,0,0,-187,57.4,31.1,-187,57.3,3.999999046,20.4,0.845,320,118,0.162,16,1,19,6,1,PASS
151,9.28,-46,151,9.46,7.78,5.91,0.099,326,14,0.00106,78.8,1.62,72.7,78.8,1.52,12.25,-2.04,0.0431,325,9.01,0.000196,33.5,4,4,33.5,4,4,0,0,0,0,-181,57.3,1.37,-181,57.3,3.999999046,18.7,0.848,320,120,0.163,16,1,19,6,1,PASS
151,9.75,47.8,151,9.76,6.54,6.11,0.101,326,13,0.00124,78.6,2.3,-2.25,78.6,2.34,12.71,-2.73,0.0726,324,7.4,0.000226,33.5,4,4,33.5,4,4,0,0,0,0,-176,57.1,-56.9,-176,57.3,4,27.8,1.2,321,116,0.229,16,1,19,6,1,PASS
152,10.05,22.8,152,9.95,5.2,4.21,0.0939,326,14.4,0.0012,78.5,3.05,-39.8,78.5,3.223,12.99,-3.08,0.0633,325,5.57,0.000119,33.5,4,4,33.5,4,4,0,0,0,0,-171,57.4,18.7,-171,57.3,4,21.2,0.885,321,118,0.171,16,1,2,6,1,PASS
152,7.4,1034,152,10,129,17.1,0.206,326,18,0.00142,78.5,4.075,41.5,78.5,4,4,-4.15,0.0812,325,8.09,1.29E-05,33.5,4,4,33.5,4,4,0,0,0,0,-165,57.3,-20.4,-165,57.3,4,20.5,0.879,321,120,0.17,16,1,19,6,1,PASS
153,10.05,10.25,153,10,4,4.7,0.0853,326,13.1,0.00107,78.5,3.875,-58.5,78.5,4,4,-3.38,0.0682,325,3.11,1.05E-05,33.5,4,4,33.5,4,4,0,0,0,0,-160,57.3,22.2,-160,57.3,3.999999046,21.4,0.975,322,117,0.187,16,1,19,6,1,PASS
153,10.18,79,154,10,4,4.04,0.0809,326,13.4,0.00102,78.5,3.875,-58.5,78.5,4,4,-3.21,0.0669,324,3.45,3.13E-05,33.5,4,4,33.5,4,4,0,0,0,0,-155,57.3,-9.9,-155,57.3,4,25.6,0.878,321,120,0.167,16,1,19,6,1,PASS
154,10.13,60.3,154,10,4,5.51,0.0932,326,13.7,0.00121,78.5,4.125,66.5,78.5,4,4,-3.66,0.0661,325,7.61,-2.05E-05,33.5,4,4,33.5,4,4,0,0,0,0,-149,57.3,-1.13,-149,57.3,4,25.2,0.863,322,122,0.163,16,1,19,6,1,PASS
155,9.88,-2.25,155,10,4,6.1,0.102,326,13.7,0.00122,78.5,3.875,-64.7,78.5,4,4,-2.43,0.0664,324,4.16,0,33.5,4,4,33.5,4,4,0,0,0,0,-144,57.3,-6.2,-144,57.3,4,21.7,1,322,118,0.192,16,1,19,6,1,PASS
155,10.05,-27.3,155,10,4,3.84,0.0736,326,13.3,0.000863,78.5,3.875,-58.5,78.5,4,4,-3.05,0.065,325,3.61,2.02E-05,33.5,4,4,33.5,4,4,0,0,0,0,-139,57.3,-12.1,-139,57.3,4.000000954,21.5,0.872,321,119,0.168,16,1,19,6,1,PASS
156,9.93,-71,156,10,4,4.11,0.0726,326,14,0.000853,78.5,4.15,72.7,78.5,4,4,-3.99,0.0664,325,7.23,0,33.5,4,4,33.5,4,4,0,0,0,0,-133,57.2,-62.7,-133,57.3,4.000000954,23.4,0.919,321,122,0.177,16,1,19,6,1,PASS
156,10.07,47.8,157,10,4,4.43,0.0853,326,12.8,0.00114,78.5,3.85,-64.7,78.5,4,4,-3.06,0.0626,325,3.47,1.95E-05,33.5,4,4,33.5,4,4,0,0,0,0,-128,57.3,9.75,-128,57.3,4,23.8,0.889,322,119,0.169,16,1,19,6,1,PASS
157,9.93,-8.5,157,10,4,3.63,0.0903,324,15.7,0.00113,78.5,3.875,-52.3,78.5,4,4,-3.22,0.0655,324,2.86,9.87E-06,33.5,4,4,33.5,4,4,0,0,0,0,-123,57.3,-4.94,-123,57.3,4,20.9,1.01,319,116,0.196,16,1,19,6,1,PASS
158,9.8,-58.5,158,10,4,5,0.0864,324,15.6,0.00108,78.5,4.15,72.7,78.5,4,4,-3.52,0.0653,323,6.94,-3.99E-05,33.5,4,4,33.5,4,4,0,0,0,0,-117,57.2,-65,-117,57.3,4,25.3,1.01,319,122,0.194,16,1,2,6,1,PASS
158,10.3,72.7,158,10,4,4.3,0.0889,325,12.8,0.00111,78.5,3.85,-71,78.5,4,4,-2.89,0.0625,324,3.58,1.96E-05,33.5,4,4,33.5,4,4,0,0,0,0,-112,57.2,-62,-112,57.3,4.000000954,24.2,1.03,321,118,0.198,16,1,19,6,1,PASS
159,10.15,97.7,159,10,4,5.12,0.101,326,13.4,0.00135,78.5,3.9,-46,78.5,4,4,-3.08,0.0634,324,3.46,1.99E-05,33.5,4,4,33.5,4,4,0,0,0,0,-107,57.4,25.6,-107,57.3,3.999999046,19.7,0.845,321,118,0.162,16,1,19,6,1,PASS
